box,year,Mother,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,average_temperature_laying,Hf2_r,peak_food,mismatch
CP17,1985,A725181,10.66785714,12.21875,12.8875,11.625,8.061111111,156,149,7
CP29,1986,A725181,11.35333333,11.16875,12.85,15.46875,10.25,164,160,4
EX79,1984,A725199,10.8625,14.65,16.7875,13.7875,11.575,160,168,-8
EX79,1985,A725199,10.78846154,12.56875,13.1,11.10625,9.271428571,156,150,6
O39,1983,A725282,10.45714286,12.50625,14.65625,13.4875,10.245,161,158,3
O63,1983,A725344,10.23157895,13.3,14.24375,14.09375,9.99,161,159,2
O34,1983,A725358,10.19230769,10.2875,10.725,14.225,9.255555556,161,145,16
O35,1984,A725358,9.08125,11.1375,10.75,13.625,10.25625,160,150,10
O34,1985,A725358,9.1,11.58125,12.74375,13.29375,6.261111111,156,144,12
O38,1983,A725359,9.784615385,10.41875,13.3,14.24375,10.285,161,151,10
O36,1984,A725359,10.19666667,10.89375,12.49375,15.09375,9.236363636,160,155,5
O67,1983,A725394,10.62142857,11.66875,14.675,12.8875,9.778571429,161,156,5
O79,1983,A725395,10.61538462,11.91875,14.725,13.03125,9.525,161,157,4
EX62G,1983,A725632,10.39375,11.66875,14.675,12.8875,10.27222222,161,156,5
O16,1984,A725734,10.04705882,10.75,13.625,16.325,8.392857143,160,158,2
EX7,1984,A725739,10.925,12.2,14.875,16.2,9.572222222,160,162,-2
C48,1983,A725775,10.42,12.50625,14.65625,13.4875,10.25555556,161,158,3
EX42A,1983,A725950,10.00333333,11.28125,14.6875,12.8125,10.01818182,161,154,7
O19,1984,A725970,9.817647059,10.89375,12.49375,15.09375,9.466666667,160,155,5
MP78,1965,AA57794,12.15769231,10.5875,13.8625,15.89375,13.19444444,148,156,-8
C59,1965,AH57281,12.56666667,11.26875,11.23125,12.46875,8.035,148,145,3
C40,1967,AH57281,9.460714286,11.7875,10.275,11.975,7.7,156,140,16
MP64,1966,AH57793,9.953846154,11.70625,10.84375,14.375,11.96363636,154,145,9
B34,1966,AH57797,11.35769231,10.89375,14.975,17.3375,9.088888889,154,154,0
B112,1967,AH57797,10.96333333,10.89375,12.66875,12.8875,8.688888889,156,150,6
EX35,1983,B067118,10.43076923,10.5375,11.66875,14.675,9.854545455,161,148,13
EX8,1983,B067120,9.903571429,10.41875,13.3,14.24375,10.4,161,151,10
W19,1983,B067122,10.1375,10.5375,11.66875,14.675,10.05454545,161,148,13
W19,1984,B067122,9.160714286,10.675,11.53125,14.65,9.43,160,152,8
CP41,1983,B067123,10.35384615,11.28125,14.6875,12.8125,10.195,161,154,7
EX51A,1983,B067124,9.803571429,10.725,14.225,13.65625,10.2,161,153,8
W16,1983,B067126,9.930769231,10.58125,12.50625,14.65625,10.48125,161,150,11
EX48,1983,B067127,9.992307692,10.725,14.225,13.65625,9.868181818,161,153,8
W36,1983,B067128,10.43076923,10.5375,11.66875,14.675,9.83,161,148,13
W24,1983,B067129,9.930769231,10.58125,12.50625,14.65625,10.4,161,150,11
W35,1983,B067130,10.1,10.58125,12.50625,14.65625,10.26875,161,150,11
EX65,1983,B067131,9.89,10.475,13.6125,14.29375,10.4,161,152,9
EX64,1984,B067131,10.6375,12.95625,15.44375,15.44375,8.18125,160,164,-4
EX62B,1983,B067132,9.778571429,10.475,13.6125,14.29375,10.09166667,161,152,9
EX62B,1984,B067132,10.67941176,12.2,14.875,16.2,8.545,160,162,-2
EX62A,1985,B067132,10.93666667,12.95625,12.48125,11.34375,9.309090909,156,154,2
EX63,1983,B067133,10.1,10.58125,12.50625,14.65625,10.26875,161,150,11
W11,1983,B067135,9.784615385,10.41875,13.3,14.24375,10.55625,161,151,10
EX21,1984,B067135,8.946428571,11.1375,10.75,13.625,9.983333333,160,150,10
CP18,1983,B067148,9.766666667,10.725,14.225,13.65625,10.34444444,161,153,8
W73,1983,B067150,10.040625,10.475,13.6125,14.29375,10.11666667,161,152,9
W61,1983,B067460,9.95625,11.28125,14.6875,12.8125,10.34444444,161,154,7
EX41D,1983,B067499,9.992307692,10.725,14.225,13.65625,10.425,161,153,8
EX41A,1984,B067499,12.54583333,15.09375,15.71875,13.9125,10.71111111,160,171,-11
C155,1985,B067827,10.66428571,12.74375,13.29375,10.81875,9.272222222,156,152,4
MP11,1985,B067853,8.825,11.4125,12.68125,13.44375,6.138888889,156,143,13
MP14,1985,B067854,8.782142857,10.9,12.21875,12.8875,7.725,156,141,15
MP29,1985,B067856,9.34,11.74375,12.96875,12.8625,6.795454545,156,145,11
MP76,1985,B067857,9.660714286,11.7875,12.95625,12.48125,7.023076923,156,146,10
