"","box","year","April_lay_date","Clutch_size","Mother"
"2667","CP43",1991,18,10,"F937888"
"2668","CP41",1992,23,9,"F937888"
"2669","CP41",1993,16,10,"F937888"
"2670","EX80",1991,23,8,"F937890"
"2671","W103A",1991,28,9,"F937893"
"2672","W103A",1992,23,10,"F937893"
"2673","W103A",1993,21,9,"F937893"
"2674","EX68",1991,24,10,"F937895"
"2675","W15",1991,25,9,"F937896"
"2676","EX67",1991,23,9,"F937897"
"2677","EX74",1993,23,11,"F937897"
"2678","MP45",1990,29,8,"F938051"
"2679","MP3",1991,18,8,"F938299"
"2680","MP2",1992,18,10,"F938299"
"2681","MP2",1993,15,9,"F938299"
"2682","B224",1991,30,7,"F938300"
"2683","B26",1991,27,10,"F938301"
"2684","B123",1992,22,12,"F938301"
"2685","B116",1993,18,10,"F938301"
"2686","B140",1991,31,7,"F938314"
"2687","B70",1991,29,7,"F938315"
"2688","P13",1992,22,10,"F938315"
"2689","B65",1993,20,10,"F938315"
"2690","B144",1991,28,11,"F938316"
"2691","B169",1992,30,5,"F938325"
"2692","MP49",1992,22,11,"F938328"
"2693","MP10",1992,21,10,"F938329"
"2694","MP9",1993,14,10,"F938329"
"2695","B96",1992,26,8,"F938332"
"2696","MP89",1993,25,9,"F938332"
"2697","B12",1992,27,8,"F938333"
"2698","B225",1992,27,9,"F938335"
"2699","B224",1993,27,9,"F938335"
"2700","B194",1995,22,9,"F938335"
"2701","B192",1997,18,9,"F938335"
"2702","B191",1992,25,11,"F938336"
"2703","MP29",1993,16,9,"F938341"
"2704","MP14",1993,15,10,"F938342"
"2705","MP14",1994,25,10,"F938342"
"2706","MP75",1993,15,9,"F938346"
"2707","B98",1993,18,10,"F938351"
"2708","B99",1994,24,10,"F938351"
"2709","B12",1993,18,8,"F938352"
"2710","MP71",1994,26,7,"F938361"
"2711","B43",1993,21,8,"F938363"
"2712","B171",1994,29,8,"F938363"
"2713","MP71",1993,25,9,"F938364"
"2714","MP64",1993,19,10,"F938366"
"2715","MP90",1993,23,11,"F938369"
"2716","MP87",1993,21,11,"F938370"
"2717","MP20",1993,17,11,"F938371"
"2718","MP24",1993,22,9,"F938372"
"2719","MP43",1993,21,9,"F938373"
"2720","B118",1993,22,9,"F938374"
"2721","B221",1993,16,11,"F938380"
"2722","B70",1994,16,11,"F938380"
"2723","B26",1993,19,10,"F938381"
"2724","MP35",1993,22,10,"F938384"
"2725","B96",1993,22,11,"F938386"
"2726","MP44",1994,24,8,"F938391"
"2727","SW87",1994,26,8,"F938393"
"2728","MP16",1994,26,8,"F938396"
"2729","B105",1994,34,8,"F938399"
"2730","B105",1995,27,9,"F938399"
"2731","B7",1996,32,6,"F938399"
"2732","B4",1997,15,7,"F938399"
"2733","B5",1992,25,9,"F938401"
"2734","B204",1993,21,8,"F938401"
"2735","B93",1994,27,8,"F938401"
"2736","B92",1995,24,9,"F938401"
"2737","B7",1992,26,8,"F938402"
"2738","B107",1993,20,10,"F938402"
"2739","SW51",1994,38,9,"F938404"
"2740","MP34",1994,26,9,"F938405"
"2741","SW48",1994,41,7,"F938407"
"2742","MP47",1995,12,9,"F938408"
"2743","B129",1995,28,10,"F938416"
"2744","B77",1995,21,10,"F938417"
"2745","B225",1995,18,8,"F938418"
"2746","B58",1996,25,10,"F938421"
"2747","MP38",1996,28,7,"F938422"
"2748","B217",1996,26,5,"F938423"
"2749","B49",1996,30,8,"F938425"
"2750","B65",1996,30,8,"F938426"
"2751","B139",1996,31,12,"F938427"
"2752","B140",1996,34,6,"F938428"
"2753","B153",1996,34,8,"F938431"
"2754","MP74",1996,29,6,"F938434"
"2755","MP75",1996,33,6,"F938435"
"2756","MP71",1997,3,10,"F938437"
"2757","B159",1997,11,9,"F938440"
"2758","B212",1998,23,10,"F938440"
"2759","B212",1999,14,8,"F938440"
"2760","B193",1997,15,10,"F938441"
"2761","B194A",1997,15,9,"F938442"
"2762","B192",1998,21,8,"F938442"
"2763","SW81",1997,13,11,"F938444"
"2764","B224",1997,16,8,"F938445"
"2765","B115",1998,29,8,"F938445"
"2766","B69",1997,14,10,"F938447"
"2767","B71",1998,30,8,"F938447"
"2768","B67",1999,28,9,"F938447"
"2769","B40",2000,30,7,"F938447"
"2770","B139",2001,39,5,"F938447"
"2771","B42",1997,14,8,"F938448"
"2772","B96",1997,16,7,"F938449"
"2773","B99",1997,16,9,"F938450"
"2774","B21",1990,26,7,"F938529"
"2775","B12",1990,24,8,"F938530"
"2776","MP21",1990,25,9,"F938599"
"2777","B222",1990,23,10,"F938600"
"2778","P6",1997,13,9,"F938602"
"2779","B219",1997,17,8,"F938604"
"2780","B56",1998,26,10,"F938604"
"2781","SW68",1997,20,4,"F938605"
"2782","B89",1997,26,7,"F938607"
"2783","B16",1998,28,8,"F938621"
"2784","B225",1999,19,6,"F938621"
"2785","B175",1998,24,9,"F938622"
"2786","B115",2000,20,9,"F938622"
"2787","B15",2001,25,9,"F938622"
"2788","B109",1998,26,8,"F938624"
"2789","B108",1999,14,8,"F938624"
"2790","B100",2000,22,8,"F938624"
"2791","B102",2002,11,8,"F938624"
"2792","B108",2003,25,7,"F938624"
"2793","B222",1999,14,8,"F938628"
"2794","B152",1999,20,7,"F938630"
"2795","B52",2000,23,9,"F938630"
"2796","B151",2001,26,6,"F938630"
"2797","B169",1999,33,6,"F938633"
"2798","B45",1999,26,8,"F938634"
"2799","SW72",1999,20,10,"F938635"
"2800","SW82",1999,28,8,"F938637"
"2801","B140",1999,32,7,"F938638"
"2802","B140",2000,30,8,"F938638"
"2803","B221",2002,17,8,"F938638"
"2804","P11",1999,29,8,"F938640"
"2805","C156",1991,36,7,"F952300"
"2806","W60",2007,20,6,"F952406"
"2807","O57",2008,22,6,"F952429"
"2808","O30",2008,26,8,"F952437"
"2809","EX76",2007,15,11,"F952443"
"2810","C109",2005,18,6,"F952451"
"2811","C33",2005,15,7,"F952452"
"2812","C30",2006,20,9,"F952452"
"2813","C30",2007,11,9,"F952452"
"2814","C28",2005,15,6,"F952453"
"2815","C155",2005,16,9,"F952457"
"2816","C52",2005,15,7,"F952458"
"2817","C151",2005,20,7,"F952459"
"2818","C123",2006,20,9,"F952459"
"2819","C51",2007,18,9,"F952459"
"2820","C123",2008,18,10,"F952459"
"2821","C130",2005,17,9,"F952460"
"2822","C129",2006,23,10,"F952460"
"2823","C122",2007,13,11,"F952460"
"2824","C11",2005,18,6,"F952461"
"2825","C8",2006,20,9,"F952461"
"2826","C8",2007,11,10,"F952461"
"2827","C145",2005,21,6,"F952462"
"2828","C138",2006,24,9,"F952462"
"2829","C138",2007,8,11,"F952462"
"2830","C39",2008,12,9,"F952462"
"2831","C153",2005,25,6,"F952464"
"2832","C55",2006,22,8,"F952464"
"2833","C155",2007,12,9,"F952464"
"2834","C49",2008,18,6,"F952464"
"2835","C160B",2005,16,9,"F952466"
"2836","C9",2006,19,9,"F952469"
"2837","C54",2006,25,9,"F952470"
"2838","C117",2006,25,8,"F952472"
"2839","C108",2006,27,9,"F952474"
"2840","C46",2007,17,10,"F952475"
"2841","C33",2007,16,8,"F952477"
"2842","C33",2008,24,8,"F952477"
"2843","C108",2007,13,11,"F952478"
"2844","C108",2008,11,10,"F952478"
"2845","C112",2009,9,11,"F952478"
"2846","C108",2010,14,12,"F952478"
"2847","C116",2007,16,8,"F952479"
"2848","O44",1992,22,10,"F952649"
"2849","O42",1993,18,10,"F952649"
"2850","O43",1994,25,9,"F952649"
"2851","O54",1995,14,9,"F952649"
"2852","O55",1996,26,10,"F952649"
"2853","O55",1997,11,11,"F952649"
"2854","O1",1992,24,8,"F952650"
"2855","O25",1992,24,11,"F952658"
"2856","W99",1992,18,10,"F952678"
"2857","W65",1992,23,7,"F952679"
"2858","CP8",1992,20,11,"F952681"
"2859","CP7",1992,24,10,"F952682"
"2860","EX6",1992,19,12,"F952683"
"2861","EX5A",1992,22,11,"F952684"
"2862","O12",1993,22,11,"F952684"
"2863","O12",1994,29,9,"F952684"
"2864","O11",1995,29,10,"F952684"
"2865","O11",1996,27,9,"F952684"
"2866","EX25",1992,26,9,"F952685"
"2867","W24",1992,28,7,"F952688"
"2868","W31",1993,21,8,"F952688"
"2869","W32",1994,27,9,"F952688"
"2870","W31",1995,20,8,"F952688"
"2871","W91",1992,27,10,"F952689"
"2872","W94",1993,19,10,"F952689"
"2873","W83",1994,26,7,"F952689"
"2874","W83",1995,19,8,"F952689"
"2875","W94",1996,29,8,"F952689"
"2876","W83",1997,13,10,"F952689"
"2877","W87",1992,25,8,"F952690"
"2878","EX54",1992,26,10,"F952692"
"2879","CP34",1993,20,9,"F952692"
"2880","CP37",1992,28,8,"F952694"
"2881","CP17",1992,23,9,"F952695"
"2882","CP29",1993,23,8,"F952695"
"2883","EX47",1992,30,8,"F952697"
"2884","EX47A",1993,24,8,"F952697"
"2885","EX31",1994,29,9,"F952697"
"2886","EX51D",1992,27,10,"F952700"
"2887","B86",1993,21,9,"F952719"
"2888","C106",1993,19,10,"F952724"
"2889","B108",1993,19,9,"F952784"
"2890","EX41A",1996,29,8,"F952860"
"2891","EX77",1993,20,11,"F952874"
"2892","O52",1993,32,9,"F952880"
"2893","EX79",1993,21,9,"F952900"
"2894","EX80",1994,28,8,"F952900"
"2895","EX41E",1996,30,9,"F952900"
"2896","O64",2004,19,5,"F952912"
"2897","W71",2004,24,9,"F952917"
"2898","EX43D",2004,17,9,"F952921"
"2899","P13",2005,24,10,"F952941"
"2900","P1",2006,28,10,"F952941"
"2901","W2",2004,21,9,"F952951"
"2902","W8",2005,26,9,"F952951"
"2903","EX70",2004,17,11,"F952990"
"2904","EX73A",2004,25,8,"F952994"
"2905","C163",2000,19,6,"H300003"
"2906","C10",2000,18,8,"H300005"
"2907","C112",2000,22,6,"H300007"
"2908","C131",2000,23,9,"H300010"
"2909","C32",2001,25,8,"H300010"
"2910","C161",2000,23,8,"H300011"
"2911","C103",2002,12,10,"H300011"
"2912","C15",2000,28,5,"H300013"
"2913","C20",2000,30,4,"H300015"
"2914","C28",2001,32,7,"H300015"
"2915","C20",2002,15,7,"H300015"
"2916","C20",2003,23,9,"H300015"
"2917","C114",2000,24,10,"H300018"
"2918","C136",2000,29,7,"H300019"
"2919","C136",2001,32,6,"H300019"
"2920","C107",2000,22,9,"H300022"
"2921","C129",2000,31,7,"H300024"
"2922","C115",2001,34,8,"H300024"
"2923","C9",2001,28,5,"H300031"
"2924","C9",2002,13,8,"H300031"
"2925","C9",2003,19,6,"H300031"
"2926","C9",2004,15,7,"H300031"
"2927","C9",2005,15,7,"H300031"
"2928","C14",2001,20,8,"H300032"
"2929","C32",2002,8,10,"H300032"
"2930","C15",2004,14,9,"H300032"
"2931","C18",2001,26,8,"H300033"
"2932","C17",2002,5,9,"H300033"
"2933","C11",2001,17,8,"H300035"
"2934","C134",2001,34,10,"H300036"
"2935","C20",2001,35,4,"H300038"
"2936","C128",2001,32,7,"H300040"
"2937","C161",2002,14,10,"H300042"
"2938","C126",2003,20,9,"H300042"
"2939","C18",2002,9,9,"H300045"
"2940","C162",2002,9,9,"H300046"
"2941","C9A",2002,15,8,"H300048"
"2942","C9A",2003,6,10,"H300048"
"2943","C110",2004,22,11,"H300048"
"2944","C8",2002,15,10,"H300049"
"2945","C112",2002,20,7,"H300050"
"2946","C159",2002,20,6,"H300052"
"2947","C109",2003,20,5,"H300055"
"2948","C41",2003,24,8,"H300056"
"2949","C134",2003,21,7,"H300057"
"2950","C10",2003,22,8,"H300058"
"2951","C8",2003,26,7,"H300060"
"2952","C112",2004,17,6,"H300060"
"2953","C10",2004,23,8,"H300066"
"2954","C10",2005,15,8,"H300066"
"2955","C62",2007,28,8,"H300070"
"2956","O75C",2014,5,8,"H300101"
"2957","O75A",2015,12,9,"H300101"
"2958","O75A",2016,19,7,"H300101"
"2959","SW104A",2014,12,7,"H300118"
"2960","EX62",2014,15,7,"H300131"
"2961","EX63",2015,14,11,"H300131"
"2962","SW116",2014,15,7,"H300139"
"2963","EX92",2014,16,8,"H300165"
"2964","SW26",2014,20,7,"H300187"
"2965","CP7",2012,10,10,"H300253"
"2966","CP7",2013,32,8,"H300253"
"2967","EX53",1993,16,9,"H300391"
"2968","EX53",1994,18,10,"H300391"
"2969","EX53",1995,9,11,"H300391"
"2970","EX54",1996,22,9,"H300391"
"2971","CP10",1993,17,9,"H300510"
"2972","EX45",1993,13,13,"H300511"
"2973","EX45",1994,27,11,"H300511"
"2974","EX45",1995,11,13,"H300511"
"2975","EX29A",1996,20,11,"H300511"
"2976","EX49",1993,19,9,"H300513"
"2977","W100",1993,13,9,"H300514"
"2978","W99",1994,17,8,"H300514"
"2979","W63",1993,19,6,"H300515"
"2980","W72",1993,17,10,"H300517"
"2981","W73",1994,13,9,"H300517"
"2982","EX18",1995,16,11,"H300517"
"2983","CP20",1993,19,9,"H300521"
"2984","CP25",1994,26,8,"H300521"
"2985","CP25",1995,14,9,"H300521"
"2986","CP5",1993,19,7,"H300523"
"2987","CP21",1993,18,13,"H300525"
"2988","EX51C",1994,22,13,"H300525"
"2989","W92",1993,21,6,"H300526"
"2990","W91",1994,27,6,"H300526"
"2991","W51",1993,23,9,"H300529"
"2992","W78",1993,21,11,"H300532"
"2993","W75",1994,24,10,"H300532"
"2994","W69",1993,20,8,"H300533"
"2995","W97",1993,19,10,"H300534"
"2996","W95",1994,24,9,"H300534"
"2997","EX55",1993,20,9,"H300535"
"2998","EX50",1993,20,11,"H300536"
"2999","CP33",1995,12,10,"H300536"
"3000","CP33",1996,28,5,"H300536"
"3001","CP26",1997,11,10,"H300536"
"3002","EX51D",1993,19,10,"H300537"
"3003","EX38",1993,16,14,"H300539"
"3004","EX40",1994,24,12,"H300539"
"3005","EX33",1993,22,9,"H300540"
"3006","W102",1994,31,7,"H300540"
"3007","EX31A",1993,16,11,"H300541"
"3008","EX18A",1993,21,11,"H300544"
"3009","W101",1993,24,9,"H300546"
"3010","W103A",1994,24,8,"H300546"
"3011","W11",1993,24,9,"H300547"
"3012","W18",1994,29,9,"H300547"
"3013","W17",1995,23,9,"H300547"
"3014","W18",1996,34,9,"H300547"
"3015","CP17",1993,21,9,"H300549"
"3016","EX39B",1993,23,10,"H300554"
"3017","EX39B",1994,27,11,"H300554"
"3018","W87",1993,25,8,"H300557"
"3019","W87",1994,27,8,"H300557"
"3020","W87",1995,17,7,"H300557"
"3021","W85",1996,26,9,"H300557"
"3022","EX90",1993,24,10,"H300558"
"3023","O113",1994,26,10,"H300558"
"3024","EX90",1995,18,9,"H300558"
"3025","O113",1996,29,9,"H300558"
"3026","EX89",1997,16,8,"H300558"
"3027","EX19A",1993,27,8,"H300559"
"3028","EX17",1994,35,8,"H300559"
"3029","W4B",1993,26,10,"H300561"
"3030","EX39C",2005,22,9,"H300613"
"3031","EX33",2005,19,10,"H300625"
"3032","EX4",2005,25,10,"H300635"
"3033","EX4",2006,24,10,"H300635"
"3034","EX38",2007,14,11,"H300660"
"3035","EX38",2008,24,10,"H300660"
"3036","EX43B",2006,26,9,"H300665"
"3037","O14",2005,22,11,"H300669"
"3038","SW120",1993,25,11,"H301104"
"3039","O33",1993,25,10,"H301107"
"3040","O32",1994,24,9,"H301107"
"3041","O46",1993,26,8,"H301108"
"3042","O18",1993,24,10,"H301110"
"3043","O102",1994,33,9,"H301110"
"3044","O10",1993,27,8,"H301123"
"3045","O83",1993,29,10,"H301124"
"3046","O83",1994,32,10,"H301124"
"3047","O83",1995,24,9,"H301124"
"3048","SW112",1993,28,11,"H301127"
"3049","SW112",1994,32,11,"H301127"
"3050","O95",1993,34,9,"H301131"
"3051","O77",1993,29,9,"H301133"
"3052","O39",2006,26,7,"H301164"
"3053","B170",2006,22,8,"H301190"
"3054","EX12A",1994,29,8,"H301201"
"3055","EX79",1994,28,9,"H301225"
"3056","EX71",1995,14,10,"H301225"
"3057","EX8A",1994,25,11,"H301314"
"3058","EX39A",1994,24,6,"H301336"
"3059","W44",1994,22,7,"H301338"
"3060","EX51",1994,25,9,"H301342"
"3061","CP38",1994,30,8,"H301347"
"3062","EX55",1995,12,9,"H301347"
"3063","EX55",1996,23,9,"H301347"
"3064","CP14A",1994,32,8,"H301348"
"3065","W7",1997,13,9,"H301348"
"3066","W9",1994,30,9,"H301352"
"3067","W31",1994,33,7,"H301354"
"3068","W37",1994,30,9,"H301355"
"3069","W37",1995,25,11,"H301355"
"3070","W15",1994,33,7,"H301356"
"3071","W78",1994,31,7,"H301358"
"3072","EX57",1994,29,8,"H301361"
"3073","EX55",1994,29,11,"H301362"
"3074","EX38",1994,30,11,"H301363"
"3075","EX37",1994,31,9,"H301364"
"3076","EX38A",1995,16,9,"H301364"
"3077","EX8A",1996,25,9,"H301364"
"3078","EX14A",1997,11,9,"H301364"
"3079","EX10A",1998,24,9,"H301364"
"3080","W43",1994,31,12,"H301376"
"3081","CP5A",1994,30,12,"H301378"
"3082","W4B",1994,32,9,"H301379"
"3083","EX51D",1995,19,11,"H301379"
"3084","EX75A",1994,33,10,"H301383"
"3085","EX76",1995,16,11,"H301383"
"3086","EX89",1996,29,8,"H301383"
"3087","EX86",1997,12,12,"H301383"
"3088","O38",1995,25,10,"H301690"
"3089","O53",1996,31,7,"H301690"
"3090","SW129",1995,23,8,"H301691"
"3091","EX70",1996,31,8,"H301719"
"3092","EX58",1995,12,11,"H301724"
"3093","EX19A",1995,11,9,"H301725"
"3094","CP40",1995,12,9,"H301726"
"3095","CP43",1995,12,9,"H301728"
"3096","CP43",1996,24,9,"H301728"
"3097","EX42A",1995,12,10,"H301730"
"3098","EX45",1996,25,9,"H301730"
"3099","EX47",1995,15,10,"H301734"
"3100","EX47",1996,25,9,"H301734"
"3101","CP40A",1995,18,8,"H301735"
"3102","CP41",1997,11,11,"H301735"
"3103","EX49A",1995,16,9,"H301737"
"3104","EX48",1996,30,8,"H301737"
"3105","EX39",1995,16,11,"H301740"
"3106","EX16",1995,16,8,"H301741"
"3107","EX29",1995,20,8,"H301743"
"3108","W27",1995,22,8,"H301746"
"3109","W3",1996,34,7,"H301746"
"3110","W3",1997,18,10,"H301746"
"3111","W64A",1995,25,7,"H301750"
"3112","W75A",1996,33,8,"H301750"
"3113","W67",1995,22,9,"H301751"
"3114","W46",1995,26,7,"H301752"
"3115","EX64",1995,23,8,"H301753"
"3116","EX62",1995,26,10,"H301754"
"3117","CP1",1995,29,9,"H301755"
"3118","CP1",1996,37,8,"H301755"
"3119","SW14",1997,11,9,"H301774"
"3120","EX71",1996,28,9,"H301788"
"3121","EX69",1997,16,9,"H301788"
"3122","EX40",1996,26,10,"H301792"
"3123","EX34",1997,14,10,"H301801"
"3124","EX18",1997,14,9,"H301802"
"3125","W51A",1997,16,8,"H301803"
"3126","W14",1997,18,9,"H301807"
"3127","W16",1997,12,10,"H301808"
"3128","W26",1997,17,4,"H301811"
"3129","EX62C",1997,24,7,"H301816"
"3130","EX63",1997,28,9,"H301820"
"3131","EX2",1998,30,10,"H301886"
"3132","EX3",1999,30,11,"H301886"
"3133","EX2",2001,27,10,"H301886"
"3134","O69",1998,24,8,"H301932"
"3135","EX43D",1998,28,8,"H301991"
"3136","EX67",1998,28,10,"H302000"
"3137","MP55",1992,19,11,"H302091"
"3138","MP30",1992,22,10,"H302097"
"3139","MP32",1993,20,10,"H302097"
"3140","MP12",1992,25,10,"H302098"
"3141","C106",1991,38,9,"H303224"
"3142","C34",1992,28,10,"H303224"
"3143","W45",2010,11,11,"H303396"
"3144","W62",2010,23,9,"H303399"
"3145","O27A",1992,25,8,"H303404"
"3146","O54",1992,23,11,"H303406"
"3147","O59",1992,22,8,"H303407"
"3148","O59",1993,16,7,"H303407"
"3149","SW30",1992,25,5,"H303420"
"3150","O45",1992,21,9,"H303421"
"3151","O37",1993,21,8,"H303421"
"3152","O81",1992,25,8,"H303437"
"3153","O26",1992,26,8,"H303451"
"3154","O27A",1993,18,9,"H303451"
"3155","O27",1994,26,8,"H303451"
"3156","O33",1992,24,11,"H303452"
"3157","O50",1992,22,9,"H303453"
"3158","O50",1993,16,10,"H303453"
"3159","SW81",1992,34,7,"H303455"
"3160","SW82",1993,24,7,"H303455"
"3161","SW51",1992,27,9,"H303458"
"3162","SW6",1992,29,8,"H303460"
"3163","SW3",1993,22,9,"H303460"
"3164","SW2",1994,30,11,"H303460"
"3165","SW102",1992,29,9,"H303462"
"3166","SW101",1993,21,10,"H303462"
"3167","SW104A",1994,27,4,"H303462"
"3168","SW101",1995,19,10,"H303462"
"3169","SW121",1992,33,8,"H303473"
"3170","SW122",1994,31,7,"H303473"
"3171","SW42",1992,36,10,"H303474"
"3172","SW50",1993,25,10,"H303474"
"3173","O54",1993,16,9,"H303485"
"3174","O54",1994,28,8,"H303485"
"3175","O5",1993,17,10,"H303487"
"3176","O76",1993,19,9,"H303492"
"3177","O76",1994,21,9,"H303492"
"3178","SW70",1993,22,8,"H303497"
"3179","P13",1993,24,8,"H303499"
"3180","C9",1994,27,6,"H303499"
"3181","O69",2003,22,10,"H839844"
"3182","O59",2004,17,7,"H839846"
"3183","EX51B",1969,30,9,"HJ89222"
"3184","O37",1997,15,10,"J644031"
"3185","EX75",1999,22,8,"J644034"
"3186","EX72",2000,25,11,"J644034"
"3187","EX51C",1997,5,10,"J644077"
"3188","EX56",1997,6,9,"J644079"
"3189","EX56",1998,21,9,"J644079"
"3190","EX55",1999,26,8,"J644079"
"3191","W71",1997,12,7,"J644083"
"3192","W75A",1998,24,10,"J644083"
"3193","CP39",1997,13,8,"J644088"
"3194","W62",1997,13,10,"J644089"
"3195","W52",1998,22,9,"J644089"
"3196","W66",2000,39,8,"J644089"
"3197","W23",1997,17,8,"J644090"
"3198","W29",1999,30,7,"J644090"
"3199","EX59",1997,12,9,"J644093"
"3200","EX60",1998,24,9,"J644093"
"3201","EX49B",1997,14,8,"J644097"
"3202","EX49B",1998,28,6,"J644097"
"3203","EX6",1997,15,9,"J644098"
"3204","W46",1997,9,13,"J644099"
"3205","W49",1999,13,13,"J644099"
"3206","W57",2000,27,11,"J644099"
"3207","W76",1997,13,12,"J644100"
"3208","W85",1998,29,9,"J644100"
"3209","SW36",1998,26,7,"J644169"
"3210","SW35",1999,22,8,"J644169"
"3211","EX73A",1997,16,10,"J644187"
"3212","O47",2002,15,9,"J644302"
"3213","CP4",2006,27,6,"J644470"
"3214","EX64",2006,25,7,"J644802"
"3215","CP41",2006,23,9,"J644804"
"3216","EX51C",2006,24,10,"J644807"
"3217","EX27",2007,15,8,"J644807"
"3218","W1",2006,22,7,"J644809"
"3219","W11",2006,30,8,"J644810"
"3220","W63",2006,29,6,"J644812"
"3221","W80",2007,16,6,"J644812"
"3222","W75A",2006,31,6,"J644813"
"3223","W75A",2007,20,9,"J644813"
"3224","W75A",2008,27,9,"J644813"
"3225","W74",2009,18,10,"J644813"
"3226","W75A",2010,22,10,"J644813"
"3227","EX62I",2006,44,9,"J644829"
"3228","EX33",2007,18,10,"J644840"
"3229","EX41D",2007,16,9,"J644859"
"3230","EX79",2007,16,10,"J644864"
"3231","W71",2007,16,11,"J644901"
"3232","EX43",2007,19,10,"J644902"
"3233","EX43",2009,15,11,"J644902"
"3234","EX12A",2007,16,11,"J644903"
"3235","EX15",2008,18,12,"J644903"
"3236","W99A",2007,22,8,"J644905"
"3237","W99",2008,27,7,"J644905"
"3238","W100",2009,18,9,"J644905"
"3239","W60",2008,22,8,"J644921"
"3240","W58",2008,25,8,"J644923"
"3241","W75",2008,27,7,"J644924"
"3242","EX18",2009,27,8,"J644924"
"3243","W105",2008,26,7,"J644926"
"3244","EX30",2008,28,6,"J644927"
"3245","EX46",2009,19,10,"J644927"
"3246","W92",2008,30,6,"J644928"
"3247","W46",2008,30,8,"J644930"
"3248","W8",2009,16,9,"J644930"
"3249","W99A",2008,32,9,"J644933"
"3250","W93",2009,10,9,"J644935"
"3251","W57",2009,14,10,"J644939"
"3252","W89",2009,14,9,"J644943"
"3253","W32",2009,15,11,"J644944"
"3254","W40",2009,17,9,"J644945"
"3255","W19",2010,19,8,"J644945"
"3256","W103A",2009,17,9,"J644946"
"3257","W102",2009,13,11,"J644948"
"3258","W101",2010,35,10,"J644948"
"3259","EX34",2009,17,10,"J644950"
"3260","W37",2009,19,10,"J644952"
"3261","W37",2010,21,11,"J644952"
"3262","W45",2009,18,9,"J644954"
"3263","W49",2010,16,9,"J644954"
"3264","W65",2009,20,8,"J644956"
"3265","W65",2010,22,8,"J644956"
"3266","EX39B",2009,17,10,"J644958"
"3267","W66",2010,17,8,"J644958"
"3268","P2",2009,18,12,"J644960"
"3269","SW73",2010,23,10,"J644960"
"3270","W19",2009,23,9,"J644972"
"3271","EX36",2007,19,8,"J644993"
"3272","EX37",2008,24,8,"J644993"
"3273","EX31",2007,18,8,"J644994"
"3274","EX14B",2007,17,8,"J644995"
"3275","EX18",2007,16,9,"J644996"
"3276","W42",2007,15,8,"J644997"
"3277","W51",2007,15,10,"J644998"
"3278","EX31A",2007,15,9,"J644999"
"3279","W91",1999,12,8,"J745050"
"3280","EX14",1999,21,7,"J745052"
"3281","EX51D",1999,21,8,"J745053"
"3282","W37",1999,19,9,"J745055"
"3283","W44",2000,19,8,"J745055"
"3284","W21",1999,23,9,"J745056"
"3285","EX54",1999,24,9,"J745057"
"3286","CP35",1999,26,7,"J745058"
"3287","EX61",1999,28,8,"J745059"
"3288","CP37",1999,29,7,"J745064"
"3289","W2",1999,26,10,"J745065"
"3290","W13",2000,29,10,"J745065"
"3291","W13",1999,29,8,"J745066"
"3292","EX62C",1999,27,10,"J745068"
"3293","EX62C",2000,26,10,"J745068"
"3294","EX86",1999,30,11,"J745069"
"3295","W97",2000,30,7,"J745070"
"3296","W58",2000,28,7,"J745071"
"3297","W61",2001,32,7,"J745071"
"3298","W58",2002,19,8,"J745071"
"3299","EX8A",1999,32,9,"J745072"
"3300","EX41A",1999,32,9,"J745076"
"3301","EX41A",2000,28,10,"J745076"
"3302","EX20",2000,31,7,"J745077"
"3303","EX39C",2000,24,9,"J745081"
"3304","EX42",2001,28,10,"J745081"
"3305","EX41",2002,8,11,"J745081"
"3306","O30A",1994,25,6,"J745101"
"3307","O70",1994,26,5,"J745103"
"3308","O47",1994,30,4,"J745107"
"3309","O30",1996,46,6,"J745107"
"3310","O30",1998,25,7,"J745107"
"3311","O38A",1994,25,9,"J745110"
"3312","O38A",1995,24,9,"J745110"
"3313","O38B",1996,29,7,"J745110"
"3314","O13A",1994,27,7,"J745151"
"3315","EX7",1995,13,9,"J745151"
"3316","EX38",1996,22,9,"J745151"
"3317","O79",1994,31,5,"J745153"
"3318","O50",1994,29,9,"J745155"
"3319","O51",1995,18,8,"J745155"
"3320","SW30",1994,31,9,"J745156"
"3321","O85",1994,31,9,"J745158"
"3322","SW25",1994,34,8,"J745161"
"3323","SW107",1994,35,8,"J745164"
"3324","SW115",1994,32,8,"J745165"
"3325","O75D",1995,18,8,"J745165"
"3326","O75A",1998,22,7,"J745165"
"3327","SW6",1994,33,7,"J745167"
"3328","O40",1994,31,12,"J745168"
"3329","SW29",1995,14,12,"J745170"
"3330","O71",1995,19,7,"J745175"
"3331","O70",1997,13,9,"J745175"
"3332","O25",1998,20,5,"J745176"
"3333","O74",1995,27,7,"J745183"
"3334","O27A",1995,23,8,"J745184"
"3335","O63",1995,30,8,"J745186"
"3336","O69",1997,8,10,"J745187"
"3337","SW120",1995,27,11,"J745188"
"3338","SW17",1995,27,10,"J745190"
"3339","SW127",1996,29,9,"J745190"
"3340","CP37",1996,22,9,"J745921"
"3341","CP35",1997,5,11,"J745921"
"3342","EX76",1996,24,8,"J745923"
"3343","EX76",1997,9,10,"J745923"
"3344","EX76",1998,26,10,"J745923"
"3345","EX29",1996,23,10,"J745926"
"3346","EX15",1996,25,11,"J745927"
