box,year,April_lay_date,April_hatch_date,Clutch_size,Mother
B142,1967,39,61,7,BA42502
B38,1968,27,51,9,BA42502
B119,1965,34,53,9,BA42515
C29,1965,27,45,8,BA42517
C24A,1967,22,43,7,BA42517
C24A,1968,25,45,8,BA42517
C4,1966,31,52,8,BA42518
C156,1967,24,46,8,BA42518
B40,1966,45,65,9,BA42582
B190,1965,33,54,9,BA42595
B25,1965,30,50,9,BA42659
B226,1966,31,51,8,BA42659
B24,1965,34,54,10,BA42663
B124,1966,32,53,9,BA42663
B87,1965,34,53,8,BA42664
B87,1966,37,58,7,BA42664
B186,1967,40,60,7,BA42664
B177,1965,26,48,9,BA42673
B116,1965,30,52,10,BA42682
B145,1965,28,48,10,BA42687
B137,1966,33,53,9,BA42687
MP56,1965,20,43,11,BA42691
C119,1965,18,40,5,BA42725
B55,1965,31,51,9,BA42742
SW103,1965,24,50,11,BA42754
SW104,1966,43,62,9,BA42754
SW102,1967,20,50,11,BA42754
B71,1965,30,51,10,BA42764
B171,1966,32,54,9,BA42764
MP81,1965,29,51,9,BA42790
B134,1965,21,46,10,BA42807
C39,1965,21,45,9,BA42993
EX39,1965,26,49,11,BA43044
CP35,1967,23,47,12,BA43060
B15,1965,25,53,11,BA43389
B106,1967,30,52,10,BA44513
B113,1967,28,53,9,BA44515
B118,1968,26,53,10,BA44515
B16,1970,34,56,11,BA44515
B117,1971,44,62,8,BA44515
B24,1972,27,51,9,BA44515
B229,1967,37,55,8,BA44517
B123,1970,38,57,10,BA44517
B227,1970,35,55,11,BA44537
W60,1969,31,52,9,BA44539
B20,1970,27,47,9,BA44545
SW6,1967,29,53,8,BA44623
EX62I,1968,30,55,7,BA44623
SW5,1969,43,62,7,BA44623
W33,1965,36,56,8,BA44625
SW104,1965,32,53,11,BA44662
O38,1965,29,50,6,BA44669
O27A,1965,30,49,9,BA44713
O51,1965,26,50,9,BA44715
W74,1965,24,46,8,BA44718
CP30,1965,21,42,10,BA44719
CP29,1965,22,47,12,BA44720
O16,1965,28,45,7,BA44724
O107,1965,28,50,8,BA44725
O82,1968,25,51,8,BA44725
O84,1971,33,55,7,BA44725
W13,1966,33,54,10,BA44726
W13,1967,25,47,10,BA44726
W100,1965,26,49,12,BA44727
W100,1967,20,45,12,BA44727
EX45,1965,20,45,11,BA44729
O64,1965,27,49,8,BA44731
O67,1966,32,52,8,BA44731
O113,1965,29,50,8,BA44733
W95,1965,31,51,10,BA44734
W104,1965,29,49,9,BA44735
EX73,1965,23,47,10,BA44736
W101,1965,27,49,10,BA44737
SW124,1967,29,51,9,BA44740
B81,1967,36,54,7,BA44742
B216,1967,41,59,7,BA44744
B222,1967,39,60,7,BA44745
B225,1967,38,53,4,BA44746
MP1,1968,24,45,8,BA44746
SW39,1967,46,63,7,BA44750
SW101,1965,43,63,10,BA44752
B84,1968,45,64,7,BA44837
EX53,1968,27,50,9,BA44874
W96,1967,24,43,7,BA44879
MP86,1969,33,55,7,BA44959
SW45,1969,34,54,8,BA44971
EX61,1965,20,46,10,BA47577
EX61,1966,34,54,9,BA47577
EX59,1967,18,38,8,BA47577
O116,1965,36,57,7,BA47584
EX39B,1965,18,42,10,BA47587
EX10A,1965,19,42,12,BA47588
EX14A,1966,34,56,10,BA47588
C31,1965,32,53,9,BA47650
C30,1966,31,52,10,BA47650
C131,1967,24,47,11,BA47650
EX43A,1965,22,42,9,BA47765
EX29A,1966,28,50,6,BA47765
EX45,1967,27,48,9,BA47765
C163,1965,26,47,9,BA47833
C13,1966,28,52,11,BA47834
B191,1965,19,41,6,BA47840
B85,1966,32,53,7,BA47840
B196,1965,21,47,10,BA47845
B217,1966,29,52,11,BA47845
B14,1967,30,53,7,BA47845
C146,1965,37,55,8,BA47851
SW77,1965,28,50,9,BA47854
MP77,1965,26,47,9,BA47874
MP76,1966,40,58,8,BA47874
O71,1965,29,50,8,BA47885
O105,1965,34,53,8,BA47901
EX14B,1965,22,45,8,BA47914
SW36,1965,32,50,8,BA47940
MP11,1965,40,59,7,BA47969
SW66,1965,40,58,8,BA47970
SW79,1965,28,46,5,BA47971
SW79,1966,35,53,6,BA47971
SW82,1967,31,51,6,BA47971
SW79,1969,32,57,7,BA47971
B170,1965,34,53,8,BA47973
C44,1965,33,51,9,BA47975
SW45,1965,34,52,7,BA47976
SW64,1966,35,56,9,BA47977
SW88,1965,33,53,9,BA47978
MP83,1966,32,54,10,BA47979
MP84,1967,28,50,9,BA47979
MP25,1968,42,61,5,BA47979
MP85,1969,43,62,9,BA47979
B36,1965,32,55,9,BA47980
C52,1965,34,53,9,BA47981
SW40,1965,35,55,10,BA47983
SW21,1965,30,51,9,BA47984
SW21,1967,27,48,9,BA47984
SW20,1968,26,51,9,BA47984
SW20,1969,32,62,9,BA47984
SW51,1965,37,55,8,BA47985
SW107,1966,34,53,8,BA47986
SW48,1966,35,59,7,BA47987
C21,1965,31,50,8,BA47988
B229,1965,34,52,8,BA47989
C110,1965,33,52,9,BA47990
SW121,1966,46,58,5,BA47994
SW115,1968,35,55,6,BA47994
SW115,1969,45,63,6,BA47994
B65,1965,30,51,5,BA47996
EX38A,1965,26,45,11,BA50703
EX39B,1966,28,53,10,BA50703
EX39A,1967,18,41,9,BA50703
O39,1965,27,50,9,BA50732
O72,1965,26,49,7,BA57445
MP7,1965,30,51,5,BA64007
B228,1967,43,60,8,BA64007
EX35,1965,22,45,6,BA64016
EX25,1966,37,55,7,BA64024
B127,1965,24,48,9,BA64033
B113,1966,30,51,10,BA64033
B121,1965,29,51,10,BA64039
W59,1965,39,58,9,BA64055
O4,1965,33,53,10,BA64066
O58,1965,34,53,9,BA64079
O100,1965,36,57,7,BA64345
B26,1965,33,52,8,BA64501
B62A,1965,25,47,8,BA64508
C112,1965,27,51,8,BA64526
O25,1965,22,45,8,BA64534
B36,1966,31,58,10,BA64555
O85,1965,25,53,10,BA64569
SW31,1965,29,50,10,BA64577
C151,1965,35,55,10,BA64653
O30A,1965,28,50,9,BA64700
EX63,1965,35,54,8,BA64716
O86,1965,25,47,10,BA64724
O106,1966,36,54,6,BA64724
O87,1965,28,53,11,BA64805
O86,1966,45,63,9,BA64805
CP41,1965,37,56,8,BA64841
B47,1965,30,50,8,BA64898
B220,1966,33,51,8,BA64898
B143,1967,26,45,8,BA64898
B35,1968,25,48,8,BA64898
B179,1965,28,49,9,BA64950
B80A,1965,34,55,8,BA64960
B81,1965,26,50,9,BA64978
SW57,1966,37,57,9,BA66196
B22,1966,30,52,9,BA66198
B121,1967,27,49,8,BA66198
B227,1966,30,53,10,BA66199
EX34,1966,38,59,9,BA66201
O6,1966,49,65,6,BA66203
O63,1967,22,56,9,BA66203
O71,1966,32,51,6,BA66204
W3,1966,39,53,3,BA66205
W46,1966,39,58,8,BA66206
W47,1967,27,48,8,BA66206
W105,1966,41,60,10,BA66207
EX10,1966,36,57,10,BA66210
EX39,1966,33,56,10,BA66211
O42,1966,40,60,8,BA66212
CP40,1966,34,53,7,BA66236
CP40,1967,25,44,7,BA66236
CP41,1968,25,47,7,BA66236
CP39,1969,37,58,8,BA66236
EX11,1966,37,57,8,BA66249
MP71,1973,23,44,7,BA66414
MP65,1975,31,51,8,BA66414
MP84,1973,24,49,11,BA66418
O50,1967,28,50,9,BA66500
B165,1967,29,52,10,BA66533
B161,1968,23,45,10,BA66533
SW6,1966,48,64,7,BA66535
B119,1966,38,57,8,BA66537
B93,1967,25,48,10,BA66537
MP89,1968,25,52,11,BA66537
MP79,1967,32,51,6,BA66580
MP55,1969,37,55,7,BA66580
B190,1967,28,49,8,BA66690
B189,1968,24,48,10,BA66690
EX75,1969,42,61,9,BA66800
O49,1967,32,53,10,BA66843
O58,1968,27,50,10,BA66843
MP51,1966,27,47,8,BA72776
B150,1966,46,61,7,BA72777
B214,1967,26,50,9,BA72778
B213,1970,23,46,11,BA72778
MP11,1966,30,52,9,BA72779
SW31,1966,39,57,4,BA72781
SW29,1967,33,53,6,BA72781
SW31,1968,26,45,7,BA72781
SW31,1969,34,53,7,BA72781
C34A,1966,32,53,10,BA72782
B26,1966,36,55,8,BA72783
B30,1966,33,55,10,BA72784
B12,1968,49,73,8,BA72784
B151,1967,30,52,8,BA72785
B94,1966,33,54,8,BA72786
B93,1966,31,51,9,BA72787
B133,1966,35,56,10,BA72788
B65,1966,37,59,11,BA72789
B112,1968,25,49,11,BA72789
B62A,1966,40,59,7,BA72790
B86,1966,33,56,8,BA72791
B196,1967,29,51,8,BA72791
MP60,1966,27,51,10,BA72792
SW76,1966,41,58,8,BA72793
C34,1966,33,53,8,BA72794
B77,1966,36,56,9,BA72796
B84,1967,29,51,9,BA72796
B8,1966,37,56,7,BA72797
B2,1967,32,53,8,BA72797
B11,1968,28,53,8,BA72797
P11,1984,32,53,6,BA73158
B217,1984,37,58,7,BA73166
B196,1985,22,46,10,BA73166
O52,1984,37,57,7,BA73178
O87,1985,20,44,12,BA73178
MP69,1966,24,43,7,BC13047
MP64,1967,20,40,7,BC13047
MP64,1968,21,40,6,BC13047
MP64,1969,23,44,8,BC13047
B20,1966,36,54,6,BC13052
B46,1966,32,55,9,BC13114
B60,1967,29,52,10,BC13114
B7,1967,30,52,7,BC13123
EX5,1966,35,56,7,BC13124
SW25,1966,36,56,6,BC13190
SW25,1967,34,54,8,BC13190
SW42,1968,34,55,6,BC13190
B70,1966,35,56,10,BC13241
MP55,1966,28,49,9,BC13258
CP5,1966,31,55,8,BC13280
B179,1966,30,51,7,BC13283
B213,1968,21,41,8,BC13283
SW102,1966,46,61,5,BC13384
EX49B,1968,26,52,6,BC13395
EX49B,1969,35,58,10,BC13395
EX30,1966,35,53,7,BC13398
O63,1966,35,57,9,BC13406
O95,1966,42,59,8,BC13442
EX14B,1966,33,52,7,BC13508
EX63,1966,33,55,9,BC13633
EX27,1966,33,56,8,BC13646
O100,1966,44,62,8,BC13650
EX2,1966,31,54,10,BC13652
EX38,1968,22,45,10,BC13652
EX32,1966,33,56,9,BC13658
CP41,1966,35,54,5,BC13661
SW119,1966,38,60,11,BC13671
SW40,1966,41,59,7,BC13674
SW32,1967,33,54,10,BC13674
SW105,1968,35,58,7,BC13674
EX43C,1969,31,54,10,BC13707
EX62H,1966,53,69,6,BC13746
EX1,1966,35,57,10,BC13765
SW33,1966,38,57,8,BC13794
W14,1966,39,58,9,BC13813
W91,1967,27,46,8,BC13819
W91,1968,30,51,8,BC13819
O34,1966,32,54,9,BC13841
O30A,1967,26,49,10,BC13841
O30A,1968,25,51,10,BC13841
O27,1969,29,52,9,BC13841
C21,1966,31,53,10,BC13969
MP74,1966,34,53,8,BC43128
O95,1976,40,63,10,BC43961
B79,1972,35,54,8,BC43963
B2,1973,38,59,9,BC43965
B217,1973,22,49,9,BC43978
B67,1972,34,52,6,BC43981
MP19,1972,20,41,9,BC43986
B105,1972,36,55,8,BC43989
EX44,1972,27,48,9,BC43998
EX39C,1974,30,50,7,BC43998
W32,1973,29,51,9,BC44000
EX49C,1969,35,55,9,BC76402
EX79,1969,37,56,8,BC76405
EX20,1970,29,51,11,BC76414
SW67,1970,34,54,9,BC76416
CP20,1970,27,47,10,BC76430
O39,1967,28,49,7,BC85027
O19,1967,25,46,9,BC85029
O67,1968,25,49,9,BC85035
O86,1967,33,52,8,BC85036
EX2,1967,23,42,8,BC85038
W23,1967,27,48,10,BC85043
EX26,1967,24,44,8,BC85044
EX57,1967,19,39,9,BC85046
EX33,1967,26,46,9,BC85048
EX8,1967,27,49,10,BC85049
EX9,1968,31,55,11,BC85049
EX9,1969,37,58,11,BC85049
EX62,1967,25,46,8,BC85051
CP11,1967,29,50,11,BC85053
W2,1967,28,48,8,BC85054
W85,1967,25,46,10,BC85056
